STASIUN 2;;;;;;;;;
;;;;;;;;;
PLOT 1 TITIK 1;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);Antenna, Kepala;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
51;0,93;0,14;0,18;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
52;0,78;0,15;0,18;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
53;0,68;0,13;0,16;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
54;0,97;0,25;0,27;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
55;0,8;0,19;0,2;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
56;0,6;0,11;0,1;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
57;0,93;0,14;0,23;A < 0.5 T;Banyak;Ada;Ada;5;PODUROMORPHA
58;0,85;0,11;0,2;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
59;0,72;0,12;0,16;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
60;0,61;0,13;0,14;A < 0.5 T;Banyak;Ada;Ada;5;PODUROMORPHA
61;0,76;0,12;0,18;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
62;0,92;0,17;0,17;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
63;0,93;0,15;0,17;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
64;0,92;0,19;0,2;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
65;0,9;0,19;0,18;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
66;0,67;0,16;0,17;A < 0.5 T;Banyak;Ada;Ada;6;PODUROMORPHA
67;0,79;0,19;0,18;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
68;0,95;0,25;0,22;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
69;0,67;0,12;0,15;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
70;0,78;0,15;0,16;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
71;0,63;0,14;0,14;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
72;0,91;0,12;0,16;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
73;0,73;0,18;0,2;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
74;1,07;0,21;0,24;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
75;0,69;0,11;0,19;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
76;0,6;0,09;0,12;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
77;0,77;0,15;0,18;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
78;0,66;0,14;0,16;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
79;0,66;0,16;0,17;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
80;0,63;0,1;0,15;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
81;0,92;0,13;0,24;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
82;0,83;0,15;0,21;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
83;0,7;0,15;0,18;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
84;0,74;0,23;0,12;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
85;0,64;0,13;0,15;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
86;1,08;0,21;0,23;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
87;1,06;0,18;0,25;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
88;0,77;0,16;0,15;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
89;0,75;0,15;0,14;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
90;0,68;0,1;0,12;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
91;0,59;0,13;0,15;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
92;1;0,19;0,16;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
93;0,93;0,17;0,17;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
94;0,91;0,15;0,2;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
95;1,22;0,4;0,2;A > 0.5 T;Tidak ada;Ada;Ada;6;ENTOMOBRYOMORPHA
96;0,95;0,19;0,18;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
97;0,65;0,12;0,13;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
98;0,62;0,14;0,11;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
99;0,68;0,13;0,15;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
100;0,85;0,21;0,22;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
101;0,83;0,16;0,23;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
102;0,74;0,2;0,18;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
103;1,03;0,19;0,22;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
104;0,65;0,12;0,13;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
105;0,66;0,14;0,13;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
106;0,97;0,16;0,15;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
107;0,67;0,16;0,16;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
108;1,29;0,21;0,23;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
109;0,97;0,13;0,19;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
110;1,45;0,19;0,3;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
111;1,16;0,15;0,22;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
112;0,88;0,14;0,18;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
113;1,09;0,21;0,19;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
114;0,99;0,18;0,23;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
115;1,11;0,15;0,19;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
116;0,84;0,15;0,17;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
117;0,96;0,18;0,18;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
118;1,32;0,23;0,25;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
119;0,9;0,14;0,17;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
120;0,95;0,16;0,19;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
121;1;0,18;0,19;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
122;0,89;0,11;0,16;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
123;0,9;0,17;0,17;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
124;0,99;0,19;0,19;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
125;1,24;0,2;0,27;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
126;1,05;0,14;0,17;A < 0.5 T;Banyak;Ada;Ada;5;PODUROMORPHA
127;1,07;0,14;0,17;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
128;1,2;0,2;0,19;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
129;0,92;0,12;0,19;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
130;1,28;0,2;0,24;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
131;1,38;0,23;0,23;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
132;1,34;0,41;0,25;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
133;0,74;0,15;0,16;A < 0.5 T;Sedikit;Ada;Ada;4;PODUROMORPHA
134;0,9;0,18;0,15;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
135;0,83;0,14;0,17;A < 0.5 T;Banyak;Ada;Ada;5;PODUROMORPHA
136;0,93;0,17;0,16;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
137;0,8;0,17;0,14;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
138;0,83;0,16;0,16;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
139;0,96;0,18;0,17;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
140;0,84;0,15;0,15;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
141;1,19;0,24;0,2;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
142;1,44;0,44;0,29;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
143;0,88;0,13;0,17;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
144;1,22;0,25;0,22;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
145;0,8;0,14;0,18;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
146;0,85;0,18;0,16;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
147;0,79;0,15;0,21;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
;;;;;;;;;
PLOT 1 TITIK 2;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;0,88;0,15;0,18;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
2;1,18;0,23;0,24;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
3;0,94;0,17;0,16;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
4;0,75;0,15;0,14;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
5;0,95;0,2;0,23;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
6;0,98;0,2;0,23;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
7;1,15;0,2;0,21;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
8;0,91;0,18;0,18;A < 0.5 T;Sedikit;Ada;Ada;4;PODUROMORPHA
9;1,12;0,17;0,21;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
10;0,9;0,39;0,5;A < 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
11;0,87;0,12;0,13;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
12;1,17;0,23;0,26;A < 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
13;0,62;0,14;0,15;A < 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
14;0,94;0,16;0,17;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
15;0,85;0,17;0,18;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
16;1,01;0,2;0,22;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
17;1,16;0,21;0,22;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
18;0,93;0,16;0,19;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
19;0,74;0,15;0,19;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
20;0,78;0,16;0,18;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
21;1,04;0,17;0,2;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
22;1,13;0,19;0,19;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
23;0,86;0,16;0,15;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
24;0,93;0,16;0,17;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
25;0,58;0,13;0,14;A < 0.5 T;Banyak;Ada;Ada;5;PODUROMORPHA
26;2,1;0,77;0,42;A > 0.5 T;Tidak ada;Ada;Ada;6;ENTOMOBRYOMORPHA
27;1,15;0,25;0,24;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
28;1,77;0,31;0,36;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
29;1,78;0,33;0,34;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
30;1,81;0,48;0,43;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
31;0,91;0,17;0,18;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
32;0,75;0,13;0,21;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
33;1,19;0,19;0,24;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
34;0,85;0,2;0,19;A > 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
35;1,17;0,17;0,22;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
36;1,1;0,19;0,25;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
37;0,95;0,18;0,18;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
38;0,79;0,16;0,17;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
39;0,87;0,19;0,17;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
40;1,06;0,21;0,2;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
41;0,81;0,17;0,21;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
42;1,48;0,65;0,25;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
43;1,25;0,14;0,23;A < 0.5 T;Banyak;Ada;Ada;5;PODUROMORPHA
44;0,9;0,16;0,2;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
45;0,9;0,18;0,22;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
46;1,12;0,18;0,26;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
47;0,99;0,18;0,26;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
48;0,7;0,17;0,15;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
49;0,82;0,2;0,15;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
50;0,75;0,13;0,14;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
51;0,73;0,13;0,14;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
52;1,26;0,23;0,3;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
53;0,85;0,16;0,17;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
54;1,08;0,21;0,22;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
55;0,78;0,13;0,16;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
56;0,86;0,23;0,16;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
57;0,76;0,14;0,15;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
58;1,02;0,18;0,2;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
59;0,97;0,16;0,17;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
60;0,75;0,13;0,16;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
61;1,13;0,22;0,23;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
62;0,68;0,16;0,14;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
63;0,86;0,2;0,17;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
64;0,83;0,19;0,17;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
65;1,04;0,26;0,25;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
66;1,17;0,19;0,24;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
67;1,02;0,19;0,21;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
68;0,85;0,17;0,14;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
69;0,75;0,15;0,16;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
70;1,06;0,24;0,22;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
71;1,07;0,5;0,27;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
72;0,87;0,17;0,18;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
73;1,02;0,17;0,18;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
74;0,82;0,18;0,15;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
75;0,97;0,19;0,22;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
76;0,73;0,19;0,15;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
77;1,34;0,21;0,27;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
78;0,81;0,18;0,19;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
79;0,67;0,15;0,14;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
80;0,7;0,14;0,13;A > 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
81;1,24;0,26;0,24;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
82;0,93;0,21;0,2;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
83;1,09;0,23;0,24;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
84;1,05;0,22;0,23;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
85;0,82;0,18;0,15;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
86;1,14;0,24;0,22;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
87;0,92;0,21;0,2;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
88;0,84;0,25;0,29;A < 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
89;0,99;0,2;0,19;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
90;0,84;0,15;0,16;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
91;0,74;0,15;0,16;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
92;1;0,15;0,2;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
93;1,14;0,27;0,22;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
94;0,64;0,19;0,15;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
95;1,18;0,13;0,2;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
96;0,99;0,23;0,17;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
97;0,96;0,23;0,2;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
98;0,69;0,16;0,12;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
99;0,97;0,21;0,17;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
100;0,64;0,12;0,13;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
101;0,6;0,15;0,14;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
102;0,67;0,15;0,14;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
103;1,06;0,2;0,19;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
104;1,03;0,22;0,18;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
105;0,62;0,12;0,13;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
106;1,17;0,2;0,21;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
107;1;0,24;0,2;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
108;1,16;0,23;0,25;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
109;1,45;0,56;0,29;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
110;1,39;0,21;0,22;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
111;0,9;0,2;0,17;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
112;0,93;0,17;0,19;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
113;1,01;0,17;0,18;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
114;1,05;0,24;0,22;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
115;1,08;0,26;0,23;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
116;1,13;0,24;0,2;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
117;1,26;0,27;0,22;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
118;1,14;0,22;0,21;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
119;0,88;0,2;0,17;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
120;1,21;0,22;0,2;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
121;0,93;0,21;0,2;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
122;0,89;0,15;0,19;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
123;1,09;0,21;0,24;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
124;0,85;0,19;0,18;A > 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
125;0,85;0,18;0,2;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
126;0,74;0,18;0,15;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
127;0,74;0,13;0,17;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
128;0,89;0,15;0,19;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
129;1,19;0,2;0,18;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
130;0,89;0,23;0,22;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
131;0,9;0,18;0,21;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
132;0,68;0,14;0,13;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
133;0,7;0,19;0,15;A > 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
;;;;;;;;;
PLOT 1 TITIK 3;;;;;;;;;
