STASIUN 2;;;;;;;;;
;;;;;;;;;
PLOT 1 TITIK 1;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);Antenna, Kepala;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;1,29;0,21;0,2;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
2;0,82;0,13;0,15;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
3;1,01;0,2;0,18;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
4;1,23;0,17;0,19;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
5;0,87;0,17;0,17;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
6;0,65;0,11;0,13;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
7;0,7;0,12;0,13;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
8;0,74;0,12;0,15;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
9;1,01;0,13;0,16;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
10;0,85;0,14;0,16;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
11;1,22;0,13;0,15;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
12;1,06;0,17;0,2;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
13;0,77;0,15;0,13;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
14;0,85;0,15;0,17;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
15;0,95;0,16;0,21;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
16;1,02;0,16;0,17;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
17;0,79;0,15;0,15;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
18;0,75;0,13;0,13;A < 0.5 T;Banyak;Ada;Ada;5;PODUROMORPHA
19;0,63;0,13;0,11;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
20;0,99;0,18;0,23;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
21;0,98;0,19;0,19;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
22;0,88;0,16;0,2;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
23;0,9;0,14;0,2;A < 0.5 T;Banyak;Ada;Ada;5;PODUROMORPHA
24;0,95;0,15;0,16;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
25;0,91;0,19;0,2;A < 0.5 T;Sedikit;Ada;Ada;0;PODUROMORPHA
26;0,84;0,09;0,18;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
27;1,07;0,08;0,25;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
28;1,2;0,2;0,21;A < 0.5 T;Banyak;Ada;Ada;6;PODUROMORPHA
29;0,84;0,13;0,17;A < 0.5 T;Banyak;Ada;Ada;6;PODUROMORPHA
30;0,94;0,12;0,18;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
31;0,61;0,14;0,17;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
32;0,76;0,11;0,17;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
33;1,06;0,15;0,16;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
34;0,85;0,14;0,17;A < 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
35;0,74;0,12;0,14;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
36;0,78;0,15;0,16;A < 0.5 T;Banyak;Ada;Ada;1;PODUROMORPHA
37;0,32;0,19;0,1;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
38;0,92;0,19;0,21;A < 0.5 T;Sedikit;Ada;Ada;4;PODUROMORPHA
39;1,14;0,39;0,21;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
40;0,82;0,2;0,22;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
41;0,73;0,13;0,14;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
42;0,68;0,14;0,16;A < 0.5 T;Sedikit;Ada;Tidak ada;0;PODUROMORPHA
43;0,8;0,18;0,19;A < 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
44;1,18;0,34;0,15;A > 0.5 T;Tidak ada;Ada;Ada;6;ENTOMOBRYOMORPHA
45;0,6;0,1;0,12;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
46;0,77;0,14;0,19;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
47;0,93;0,19;0,18;A > 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
48;0,74;0,13;0,19;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
49;1,1;0,23;0,24;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
50;0,71;0,18;0,18;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
