STASIUN 1;;;;;;;;;
;;;;;;;;;
PLOT 1 TITIK 1;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);Antenna, Kepala;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;2,12;0,52;0,38;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
2;1,19;0,19;0,26;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
3;1,59;0,59;0,32;A > 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
4;1,4;0,18;0,3;A < 0.5 T;Banyak;Ada;Ada;5;PODUROMORPHA
5;1,14;0,25;0,24;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
6;0,93;0,22;0,25;A < 0.5 T;Banyak;Ada;Tidak ada;8;PODUROMORPHA
7;2,04;0,51;0,3;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
8;1,42;0,31;0,3;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
9;1,23;0,2;0,17;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
10;1,12;0,22;0,17;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
11;1,16;0,21;0,24;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
12;1,31;0,16;0,15;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
13;1,52;0,26;0,28;A < 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
14;1,08;0,18;0,22;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
15;1,64;0,62;0,27;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
16;1,5;0,55;0,34;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
17;1,27;0,42;0,19;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
18;2,07;1,32;0,44;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
19;1,4;0,54;0,35;A > 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
20;1,73;0,63;0,37;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
21;1,46;0,44;0,3;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
22;1,24;0,52;0,31;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
23;1;0,21;0,22;A < 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
24;1,41;0,39;0,27;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
25;1,05;0,18;0,25;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
;;;;;;;;;
PLOT 1 TITIK 2;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;1,34;0,41;0,3;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
2;1,49;0,59;0,37;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
3;1,82;0,66;0,35;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
4;1,12;0,38;0,36;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
5;0,82;0,2;0,29;A < 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
6;0,83;0,41;0,15;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
7;1,52;0,48;0,45;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
8;0,84;0,31;0,23;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
9;1,52;0,52;0,45;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
10;1,48;0,54;0,29;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
11;1,23;0,47;0,29;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
12;0,73;0,14;0,17;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
13;1,82;0,77;0,34;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
14;1,23;0,56;0,34;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
15;1,61;0,59;0,26;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
16;1,26;0,45;0,33;A > 0.5 T;Banyak;Ada;Ada;1;ENTOMOBRYOMORPHA
17;0,92;0,19;0,18;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
18;1,41;0,45;0,32;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
19;1,65;0,65;0,39;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
20;1,65;0,59;0,28;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
21;1,21;0,62;0,22;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
22;1,19;0,45;0,35;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
23;0,76;0,4;0,28;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
24;1,79;0,66;0,3;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
25;2,38;1,01;0,47;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
26;2,1;0,85;0,42;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
27;1,62;0,63;0,32;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
28;1,19;0,26;0,2;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
29;1,82;0,68;0,48;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
30;1,43;0,23;0,21;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
31;1,42;0,48;0,41;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
32;1,57;0,49;0,35;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
33;1,41;0,17;0,33;A < 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
34;0,85;0,15;0,14;A > 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
35;1,4;0,45;0,24;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
36;1,45;1,41;0,39;A > 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
37;1,28;0,37;0,28;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
38;2,33;0,75;0,46;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
39;1,35;0,49;0,28;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
40;1,12;0,35;0,28;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
41;1,79;0,58;0,36;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
42;0,78;0,3;0,14;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
43;1,78;0,21;0,25;A < 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
44;1,73;0,54;0,33;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
45;1,13;0,21;0,2;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
46;1,66;0,41;0,22;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
47;1,65;0,66;0,41;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
49;0,99;0,19;0,19;A > 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
50;1,18;0,37;0,19;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
51;0,91;0,27;0,21;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
52;1,69;0,67;0,31;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
53;1,24;0,46;0,32;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
54;1,37;0,49;0,33;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
55;0,69;0,17;0,14;A > 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
56;1,48;0,31;0,24;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
57;1,81;0,75;0,33;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
58;1,15;0,44;0,18;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
59;1,28;0,19;0,26;A < 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
60;1,08;0,34;0,19;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
;;;;;;;;;
PLOT 1 TITIK 3;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;1,31;0,54;0,23;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
2;1,38;0,37;0,3;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
3;1,44;0,48;0,28;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
