STASIUN 1;;;;;;;;;
;;;;;;;;;
PLOT 1 TITIK 1;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);Antenna, Kepala;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
4;1,54;0,62;0,22;A > 0.5 T;Sedikit;Ada;Ada;4;ENTOMOBRYOMORPHA
5;0,95;0,38;0,16;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
6;1,56;0,5;0,28;A > 0.5 T;Sedikit;Ada;Ada;4;ENTOMOBRYOMORPHA
7;1,87;0,6;0,28;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
8;1,9;0,64;0,63;A > 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
9;2,13;0,74;0,41;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
10;2,03;0,7;0,36;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
11;1,1;0,46;0,31;A > 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
12;1,62;0,7;0,36;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
13;1,4;0,43;0,26;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
14;1,6;0,71;0,25;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
15;1,41;0,58;0,26;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
16;2,03;1,03;0,44;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
17;1,25;0,48;0,22;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
18;1,09;0,44;0,22;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
19;1,73;0,76;0,39;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
20;1,64;0,7;0,41;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
21;1,78;0,56;0,31;A > 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
22;1,63;0,69;0,42;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
23;1,83;0,9;0,41;A > 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
24;1,67;0,34;0,27;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
25;1,26;0,44;0,22;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
26;1,86;0,55;0,43;A > 0.5 T;Tidak ada;Ada;Ada;1;ENTOMOBRYOMORPHA
27;1,67;0,67;0,38;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
28;1,8;0,61;0,34;A > 0.5 T;Tidak ada;Ada;Ada;8;ENTOMOBRYOMORPHA
;;;;;;;;;
PLOT 1 TITIK 4;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;1,53;0,66;0,32;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
2;1,31;0,36;0,33;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
3;1,53;0,32;0,3;A > 0.5 T;Sedikit;Ada;Ada;6-8;ENTOMOBRYOMORPHA
4;1,61;0,63;0,37;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
5;0,91;0,13;0,17;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
6;1,61;0,59;0,41;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
7;1,43;0,52;0,34;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
8;1,68;0,61;0,38;A > 0.5 T;Tidak ada;Ada;Ada;1;ENTOMOBRYOMORPHA
9;1,52;0,48;0,31;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
10;1,16;0,44;0,22;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
11;1,12;0,48;0,28;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
12;1,14;0,39;0,23;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
13;1,8;0,81;0,49;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
14;1,06;0,4;0,27;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
15;1,98;0,61;0,41;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
16;1,48;0,44;0,2;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
17;1,6;0,65;0,4;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
18;1,81;0,52;0,41;A > 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
19;1,6;0,53;0,33;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
20;1,3;0,48;0,29;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
21;1,11;0,51;0,3;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
22;1,28;0,51;0,24;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
23;1,49;0,55;0,27;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
24;1,29;0,53;0,33;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
25;2,05;2,12;0,45;A > T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
26;1,78;0,76;0,34;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
;;;;;;;;;
PLOT 1 TITIK 5;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;1,98;0,73;0,48;A > 0.5 T;Sedikit;Tidak ada;Ada;0;ENTOMOBRYOMORPHA
2;0,96;0,33;0,19;A > 0.5 T;Banyak;Tidak ada;Ada;0;ENTOMOBRYOMORPHA
3;1,13;0,34;0,2;A > 0.5 T;Banyak;Tidak ada;Ada;0;ENTOMOBRYOMORPHA
4;1,41;0,48;0,27;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
5;1,6;0,51;0,3;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
6;1,03;0,14;0,19;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
7;1,71;0,56;0,36;A > 0.5 T;Sedikit;Tidak ada;Ada;0;ENTOMOBRYOMORPHA
8;1,44;0,22;0,24;A < 0.5 T;Banyak;Ada;Ada;5;PODUROMORPHA
9;1,7;0,57;0,32;A > 0.5 T;Banyak;Tidak ada;Reduksi;0;ENTOMOBRYOMORPHA
10;1,04;0,16;0,18;A < 0.5 T;Banyak;Ada;Ada;5;PODUROMORPHA
11;1,21;0,44;0,21;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
12;1,69;0,55;0,26;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
13;1,57;0,6;0,27;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
14;1,64;0,54;0,32;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
15;1,2;0,18;0,2;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
16;1,9;0,66;0,44;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
17;1,88;0,57;0,38;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
18;1,12;0,16;0,2;A < 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
19;1,59;0,55;0,38;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
20;1,17;0,19;0,2;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
21;1,16;0,47;0,2;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
22;1,36;0,54;0,27;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
23;1,4;0,47;0,31;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
24;1,11;0,33;0,22;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
25;1,01;0,19;0,17;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
26;1,29;0,16;0,18;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
27;1,14;0,18;0,19;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
28;1,68;0,64;0,37;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
29;1,81;0,45;0,35;A > 0.5 T;Sedikit;Tidak ada;Ada;1;ENTOMOBRYOMORPHA
;;;;;;;;;
PLOT 2 TITIK 1;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;1,1;0,18;0,21;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
2;1,4;0,19;0,24;A < 0.5 T;Banyak;Ada;Ada;6;PODUROMORPHA
3;1,33;0,23;0,31;A < 0.5 T;Sedikit;Ada;Ada;4;ENTOMOBRYOMORPHA
4;1,24;0,39;0,32;A > 0.5 T;Sedikit;Ada;Ada;4;ENTOMOBRYOMORPHA
5;1,29;0,15;0,28;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
6;1,29;0,21;0,27;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
7;1,19;0,19;0,19;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
8;1,39;0,17;0,24;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
9;1,47;0,23;0,23;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
10;1,15;0,18;0,23;A < 0.5 T;Banak;Ada;Tidak ada;0;PODUROMORPHA
11;1,24;0,23;0,3;A < 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
13;1,17;0,24;0,25;A < 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
14;1,16;0,2;0,27;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
15;0,97;0,2;0,23;A < 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
16;0,91;0,14;0,27;A < 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
17;0,85;0,16;0,21;A < 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
18;1,46;0,61;0,27;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
19;1,34;0,2;0,24;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
20;1,69;0,69;0,29;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
22;0,99;0,1;0,23;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
23;1,39;0,49;0,32;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
24;0,95;0,16;0,19;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
25;1,17;0,38;0,25;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
26;1,22;0,39;0,24;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
27;1,2;0,45;0,18;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
28;1,14;0,16;0,22;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
29;1,41;0,59;0,32;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
30;0,94;0,15;0,22;A < 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
31;0,83;0,16;0,21;A < 0.5 T;Banyak;Ada;TIdak ada;0;PODUROMORPHA
32;0,76;0,18;0,17;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
33;1,44;0,25;0,31;A < 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
34;1,96;0,63;0,38;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
35;1,34;0,43;0,28;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
36;1,57;0,3;0,33;A < 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
37;1,44;0,39;0,29;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
38;0,99;0,17;0,22;A < 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
39;1,42;0,39;0,34;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
40;0,54;0,11;0,14;A < 0.5 T;Sedikit;Ada;Ada;0;PODUROMORPHA
41;0,9;0,15;0,2;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
42;1,84;0,61;0,37;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
43;1,55;0,56;0,28;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
44;1,26;0,52;0,2;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
45;1,06;0,23;0,26;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
46;1,08;0,23;0,26;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
47;1,14;0,19;0,19;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
48;1,1;0,18;0,21;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
49;1,18;0,16;0,27;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
50;1,11;0,14;0,2;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
51;0,33;0,21;0,2;A > 0.5 T;Sedikit;Ada;Ada;8;SYMPHYPLEONA
52;1,1;0,18;0,24;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
53;0,85;0,22;0,19;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
54;0,92;0,16;0,15;A > 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
55;1;0,15;0,19;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
56;1;0,13;0,2;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
57;1,74;0,65;0,35;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
58;1,05;0,15;0,2;A < 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
59;1,32;0,23;0,24;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
60;0,97;0,13;0,25;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
61;1,2;0,19;0,23;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
62;1,05;0,17;0,24;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
63;0,99;0,14;0,23;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
64;1,13;0,16;0,21;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
65;1,07;0,18;0,27;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
66;1,4;0,51;0,29;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
67;1,13;0,18;0,21;A < 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
68;1,13;0,2;0,23;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
69;1,06;0,19;0,19;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
70;1,58;0,72;0,34;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
71;1,01;0,18;0,2;A < 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
72;1,23;0,18;0,27;A < 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
73;0,8;0,13;0,16;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
74;1,07;0,2;0,24;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
75;1,04;0,24;0,22;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
76;1,05;0,18;0,24;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
77;1,16;0,18;0,24;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
78;1,42;0,24;0,27;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
79;1,11;0,22;0,26;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
80;0,88;0,15;0,21;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
81;1,35;0,41;0,27;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
82;1;0,2;0,23;A < 0.5 T;Banyak;Ada;Tidak ada;0;PODUROMORPHA
83;1,16;0,2;0,22;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
84;1,1;0,14;0,2;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
85;1,26;0,41;0,27;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
