STASIUN 3;;;;;;;;;
;;;;;;;;;
PLOT 1 TITIK 1;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);Antenna, Kepala;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
26;0,68;0,18;0,13;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
27;0,37;0,27;0,12;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
28;0,91;0,3;0,19;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
;;;;;;;;;
PLOT 1 TITIK 3;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;0,68;0,68;0,15;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
2;1,32;0,42;0,28;A > 0.5 T;Sedikit;Tidak ada;Ada;8;ENTOMOBRYOMORPHA
3;0,99;0,7;0,27;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
4;0,72;0,57;0,27;A > 0.5 T;Sedikit;Ada;Ada;8;SYMPHYPLEONA
5;0,81;0,58;0,31;A > 0.5 T;Sedikit;Ada;Ada;8;SYMPHYPLEONA
6;1,46;0,35;0,21;A > 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
7;2,28;0,38;0,3;A > 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
8;1,78;0,41;0,45;A < 0.5 T;Sedikit;Tidak ada;Ada;8;ENTOMOBRYOMORPHA
9;0,7;0,53;0,24;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
10;0,83;0,23;0,18;A > 0.5 T;Banyak;Ada;Ada;3;ENTOMOBRYOMORPHA
11;0,68;0,61;0,21;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
12;0,64;0,62;0,2;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
